https://www.usbr.gov/pn/hydromet/idwd.html,180,82,00:01:13,49,46.94%,32.22%,$0.00
https://www.usbr.gov/pn/hydromet/realtime.html,177,125,00:00:44,24,29.17%,19.21%,$0.00
https://www.usbr.gov/watersmart/grants.html,175,105,00:00:47,64,26.56%,21.71%,$0.00
https://www.usbr.gov/lc/region/g4000/hourly/rivops.html,171,155,00:01:48,129,79.07%,72.51%,$0.00
https://www.usbr.gov/lc/hooverdam/educate/kidfacts.html,170,153,00:05:03,92,79.35%,67.06%,$0.00
https://www.usbr.gov/lc/region/g5000/photolab/gallery.cfm,169,10,00:00:18,2,0.00%,1.78%,$0.00
https://www.usbr.gov/pn/hydromet/yakima/yakstats.html,169,148,00:02:53,68,82.35%,69.23%,$0.00
https://www.usbr.gov/newsroom/newsrelease/region.cfm,166,92,00:00:43,22,22.73%,15.06%,$0.00
https://www.usbr.gov/pn/hydromet/umatilla/index.html,165,59,00:05:04,39,34.21%,15.76%,$0.00
https://www.usbr.gov/watersmart/,164,101,00:01:11,70,18.31%,21.34%,$0.00
https://www.usbr.gov/lc/yuma/programs/yawms/groundwater_aquifer.html,160,146,00:06:17,146,93.84%,91.25%,$0.00
https://www.usbr.gov/pn/agrimet/,156,117,00:00:31,81,20.99%,18.59%,$0.00
https://www.usbr.gov/main/about/fact.html,148,121,00:02:17,57,50.88%,47.97%,$0.00
https://www.usbr.gov/gp-bin/arc040_form.pl,146,73,00:01:10,6,83.33%,34.93%,$0.00
https://www.usbr.gov/pn/hydromet/ramps/lucky/lucky.html,146,122,00:01:18,42,52.38%,34.25%,$0.00
https://www.usbr.gov/drought/,145,74,00:01:14,40,27.50%,24.14%,$0.00
https://www.usbr.gov/mp/cvo/current.html,144,55,00:01:57,17,0.00%,18.75%,$0.00
https://www.usbr.gov/gp/lakes_reservoirs/wyoming_lakes.html,141,97,00:00:29,55,41.82%,31.21%,$0.00
https://www.usbr.gov/lc/hooverdam/history/essays/biggest.html,141,126,00:02:51,107,84.11%,80.85%,$0.00
https://www.usbr.gov/library/,134,105,00:01:28,42,35.71%,32.09%,$0.00
https://www.usbr.gov/projects/,134,94,00:01:08,25,16.00%,12.69%,$0.00
https://www.usbr.gov/gp-bin/arcweb_cfr.pl,132,95,00:00:34,74,68.92%,53.03%,$0.00
https://www.usbr.gov/research/,130,105,00:02:09,51,21.57%,24.62%,$0.00
https://www.usbr.gov/gp-bin/arcweb_bbr.pl,129,111,00:01:10,87,71.26%,68.99%,$0.00
https://www.usbr.gov/pn/agrimet/instant/hoxo.html,128,14,00:05:01,6,83.33%,10.94%,$0.00
https://www.usbr.gov/lc/hooverdam/jobs.html,127,80,00:02:14,42,30.23%,40.94%,$0.00

